index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
18	9	789932	71044890	21238608	22455518	21228260	23689717	18	DMRTA1,RN7SL151P,SNORD39|ENSG00000264379.1,MIR31HG,IFNA6,KLHL9,CDKN2A,CDKN2B,IFNA1,IFNA2,IFNA5,IFNA8,IFNA13,IFNA14,MTAP,C9orf53,IFNE,MIR31,	18	DMRTA1,RN7SL151P,SNORD39|ENSG00000264379.1,MIR31HG,IFNA6,KLHL9,CDKN2A,CDKN2B,IFNA1,IFNA2,IFNA5,IFNA8,IFNA13,IFNA14,MTAP,C9orf53,IFNE,MIR31,	[Not Available]	[Not Available]	[Not Available]	0	9p21.3	0
19	9	136735220	136737118	136627002	136862529	136608669	136887726	1	VAV2,	1	VAV2,	[Not Available]	[Not Available]	[Not Available]	0	9q34.2	0.066779
20	10	88579426	91922100	89621061	89735597	89617401	89749455	3	SNORD74|ENSG00000200891.1,PTEN,KLLN,	2	PTEN,KLLN,	[Not Available]	[Not Available]	[Not Available]	0	10q23.31	2.1176e-66
21	10	107348436	135225087	135190570	135206354	135190358	135206873	1	PAOX,	1	PAOX,	[Not Available]	[Not Available]	[Not Available]	0	10q26.3	6.904e-29
22	10	12646813	12648149	12386351	12877584	12617765	12768790	2	MIR4480,MIR548Q,	5	MIR4480,RNU6ATAC39P,SNORD45|ENSG00000252438.1,CAMK1D,MIR548Q,	[Not Available]	[Not Available]	[Not Available]	0	10p13	3.4354e-05
23	10	1534156	1535739	1051952	1803525	1051952	2046433	5	ADARB2,IDI1,WDR37,IDI2,LINC00200,	5	ADARB2,IDI1,WDR37,IDI2,LINC00200,	[Not Available]	[Not Available]	[Not Available]	0	10p15.3	0.00077836
24	10	29885964	29889249	29746057	30032940	29862968	30301631	2	SNORD115|ENSG00000212411.1,MIR938,	4	SNORD115|ENSG00000212411.1,MIR604,SVIL,MIR938,	[Not Available]	[Not Available]	[Not Available]	0	10p11.23	0.0011535
25	10	52551512	52555146	52491847	52578002	52479016	52578002	10	RMRPP4,RNA5SP317,LINC00843,SNORA74|ENSG00000223111.1,ASAH2,SGMS1,FAM21A,AGAP6,ASAH2B,TIMM23,	1	ASAH2B,	[Not Available]	[Not Available]	[Not Available]	0	10q11.23	0.0022716
26	11	456120	6590995	606294	628753	456120	7257874	212	GVINP1,TAF10,RRP8,TIMM10B,RNA5SP329,TRIM34,OR51J1,OR51B5,HBG1,HBBP1,OR52A4,OR51H1P,SNORA62|ENSG00000201980.1,OR51C1P,SNORA7|ENSG00000206976.1,snoU13|ENSG00000238686.1,TRPC2,TSSC2,SNORA54,SLC22A18AS,KCNQ1OT1,RPL26P30,C11orf21,MIR483,H19,C11orf89,FAM99B,MOB2,MUC5AC,SNORA52,RPLP2,TMEM80,SCT,MIR210HG,RN7SL838P,ODF3,AP2A2,APBB1,RHOG,ART1,ASCL2,CARS,CCKBR,CD81,CD151,CDKN1C,TPP1,CNGA4,CTSD,DRD4,DUSP8,HBB,HBD,HBE1,HBG2,HPX,HRAS,IGF2,ILK,INS,IRF7,KCNQ1,LSP1|ENSG00000130592.9,MUC2,MUC6,NAP1L4,NUP98,SLC22A18,POLR2L,PSMD13,RNH1,MRPL23,RRM1,SMPD1,TRIM21,STIM1,TALDO1,TH,TSPAN4,TNNI2,TNNT3,PHLDA2,ZNF195,ZNF214,ZNF215,RASSF7,IFITM1,OR6A2,DCHS1,BRSK2,TSPAN32,TSSC4,TRIM22,IFITM3,DEAF1,IFITM2,TRIM3,PKP3,SIRT3,OR52A1,ARFIP2,TIMM10B,RBMXL2,PGAP2,TRPM5,UBQLN3,BET1L,CEND1,CDHR5,TOLLIP,TRIM68,PIDD,KCNQ1DN,MMP26,CHRNA10,PNPLA2,PHRF1,SIGIRR,RIC8A,MRPL17,EPS8L2,CHID1,OR51G1,OR51B4,OR51B2,OR52N1,SLC25A22,ATHL1,OR51G2,OR51E2,PTDSS2,FAM160A2,TRIM5,SYT8,PRKCDBP,OSBPL5,LRRC56,MRGPRE,ART5,TRIM6,OR52E2,OR52J3,OR51L1,OR51A7,OR51S1,OR51F2,OR52R1,OR52M1,OR52K2,OR2D3,OR2D2,OR52W1,OR56A4,OR56A1,OR52B4,C11orf40,OR52I2,OR51E1,UBQLNL,OR10A5,OR2AG1,DNHD1,SCGB1C1,C11orf42,NLRP6,OR56B4,OR52B2,C11orf35,OR51F1,OR51V1,EFCAB4A,OR10A4,NLRP14,ANO9,B4GALNT4,OR52L1,OR2AG2,OR52B6,OR10A2,PDDC1,MRGPRG,IFITM5,FAM99A,OR56B1,OR52K1,OR52I1,OR51D1,OR52A5,OR51B6,OR51M1,OR51Q1,OR51I1,OR51I2,OR52D1,OR52H1,OR52N4,OR52N5,OR52N2,OR52E6,OR52E8,OR52E4,OR56A3,OR51T1,OR51A4,OR51A2,IFITM10,MIR210,MUC5B,MIR302E,MIR4298,MIR4686,MIR4687,	3	SCT,IRF7,CDHR5,	[Not Available]	[Not Available]	[Not Available]	0	11p15.5	0.0048476
27	11	45756960	46673344	46348628	46406857	37724796	46875933	42	SNORD67|ENSG00000212135.1,SNORD67|ENSG00000252427.1,MIR5582,HARBI1,MIR4688,PHF21A,CHST1,CD82,C11orf96,RN7SKP287,HNRNPKP3,SNORA31|ENSG00000251838.1,ARHGAP1,CHRM4,CRY2,EXT2,F2,MDK,DGKZ,API5,PEX16,MAPK8IP1,TP53I11,ATG13,CKAP5,HSD17B12,SLC35C1,AMBRA1,TTC17,PRDM11,SYT13,LRRC4C,ALX4,ZNF408,ACCS,TSPAN18,CREB3L1,GYLTL1B,C11orf94,ALKBH3,ACCSL,MIR670,	4	MIR4688,CHRM4,MDK,DGKZ,	[Not Available]	[Not Available]	[Not Available]	0	11p11.2	0.014054
28	11	78762182	78762627	78363072	79153837	78287032	81601292	4	TENM4,MIR708,MIR4300,MIR5579,	3	TENM4,MIR708,MIR5579,	[Not Available]	[Not Available]	[Not Available]	0	11q14.1	0.13335
29	12	41307896	46622269	46121662	46303315	42985864	46575076	13	SCAF11,RN7SL246P,RNA5SP361,NELL2,TWF1,PLEKHA8P1,IRAK4,ADAMTS20,PUS7L,TMEM117,ANO6,ARID2,DBX2,	2	RN7SL246P,ARID2,	[Not Available]	[Not Available]	[Not Available]	0	12q12	4.329e-05
30	12	10304111	16660918	12865836	12879570	9042343	19465487	119	RN7SL67P,RN7SL459P,ERP27,ART4,C12orf60,RN7SKP134,PLBD1,RPL30P11,RN7SL676P,RN7SL46P,RN7SKP162,GRIN2B,RNA5SP353,HTR7P1,SNORD88,GPRC5A,MIR613,DUSP16,LOH12CR2,TAS2R30,TAS2R64P,TAS2R20,TAS2R14,PRH2,TAS2R8,MAGOHB,EIF2S3L,RN7SKP161,KLRF2,CLEC2B,CLEC2D,KLRB1,SNORA75|ENSG00000212432.1,SNORA75|ENSG00000212440.1,LINC00987,A2MP1,LINC00612,A2M,ARHGDIB,CD69,CDKN1B,CREBL2,PHC1,EMP1,EPS8,ETV6,GPR19,GUCY2C,KLRC1,KLRC2,KLRC3,KLRD1,LRP6,M6PR,MGP,MGST1,OLR1,PDE6H,PIK3C2G,PRB1,PRB3,PRB4,PRH1,PTPRO,PZP,KLRC4,YBX3,KLRG1,KLRAP1,STRAP,PRR4,KLRK1,GABARAPL1,TAS2R9,TAS2R7,TAS2R13,TAS2R10,HEBP1,DERA,DDX47,CLEC1B,CLEC1A,KLRF1,WBP11,PLEKHA5,MANSC1,STYK1,GPRC5D,ATF7IP,H2AFJ,LMO3,KIAA1467,CLEC7A,BCL2L14,RERGL,APOLD1,GSG1,RERG,PLCZ1,CAPZA3,LOH12CR1,TMEM52B,HIST4H4,CLEC12A,CLECL1,TAS2R43,TAS2R31,TAS2R46,TAS2R19,TAS2R50,CLEC9A,C12orf36,TAS2R42,CLEC2A,CLEC12B,SMCO3,PRB2,MIR614,SLC15A5,	1	CDKN1B,	[Not Available]	[Not Available]	[Not Available]	0	12p13.1	0.0061973
31	12	67250691	69082596	69004215	69061178	58374325	69139682	53	SNORA70G,DYRK2,CAND1,snoU13|ENSG00000238528.1,RN7SKP166,TMBIM4,RNA5SP362,RPSAP52,RNU6ATAC42P,snoU13|ENSG00000238592.1,MIR548C,SNORD83,XPOT,snoU13|ENSG00000238440.1,RPS11P6,AVPR1A,LDHAL6CP,snoU13|ENSG00000238475.1,SNORD112|ENSG00000252883.1,SNORA19|ENSG00000251822.1,RN7SKP65,GNS,IFNG,RAP1B,HMGA2,SLC16A7,USP15,TMEM5,WIF1,IRAK3,MON2,TBC1D30,GRIP1,LEMD3,TBK1,IL22,TMBIM4,IL26,MDM1,NUP107,PPM1H,SRGAP1,LLPH,HELB,C12orf56,LRIG3,C12orf66,MSRB3,RASSF3,C12orf61,DPY19L2,FAM19A2,MIRLET7I,	2	SNORA70G,RAP1B,	[Not Available]	[Not Available]	[Not Available]	0	12q15	0.0052524
32	13	19450806	96042163	48960640	49019389	48875752	49062990	2	RB1,LPAR6,	1	LPAR6,	[Not Available]	[Not Available]	[Not Available]	0	13q14.2	2.1409e-24
33	13	19450806	96042163	73798341	73801729	50266109	77454276	107	RN7SL571P,LINC00561,C13orf45,LINC00347,LINC00381,RNY1P5,LINC00402,LINC00392,LINC00393,RNY1P8,SNORA9|ENSG00000199282.1,SNORA68|ENSG00000251715.1,SNORD37|ENSG00000212377.1,RNA5SP32,LINC00348,ATXN8OS,RNY3P10,RN7SL761P,LINC00364,LINC00355,LINC00395,LINC00448,LINC00459,LINC00358,RNY4P31,RNY3P5,LINC00378,RNA5SP31,LINC00434,RNY4P28,RN7SL375P,RNY4P29,RNA5SP30,RN7SKP6,snoU13|ENSG00000238455.1,LINC00458,LINC00558,RN7SL618P,SUGT1,LINC00345,RNY4P24,RN7SL413P,RNY1P6,RN7SL320P,RPS4XP16,LINC00371,RNA5SP29,RNA5SP28,DLEU7,RNY4P9,RNY4P30,ATP7B,KLF5,DACH1,GUCY1B2,KPNA3,LMO7,NEK3,PCDH8,PCDH9,UCHL3,UTP14C,TBC1D4,TRIM13,DLEU1,PIBF1,OLFM4,LECT1,KLF12,DIS3,INTS6,CKAP2,PCDH17,VPS36,THSD1,SPRYD7,KLHL1,PCDH20,RNASEH2B,DHRS12,BORA,TDRD3,DIAPH3,CCDC70,WDFY2,PRR20A,HNRNPA1L2,COMMD6,FAM124A,KCNRG,NEK5,DLEU2,ALG11,MZT1,SERPINE3,PRR20B,PRR20C,PRR20D,PRR20E,MIR759,MIR3169,MIR3613,MIR4704,MIR548X2,MIR4703,MIR5007,MIR5693,	1	RNY1P8,	[Not Available]	[Not Available]	[Not Available]	0	13q22.1	4.92e-12
34	14	20501368	45631272	33399002	34273570	33301848	34393377	1	NPAS3,	1	NPAS3,	[Not Available]	[Not Available]	[Not Available]	0	14q13.1	6.1078e-13
